,asset_id,interval,timestamp,open,high,low,close,volume
274,AMZN,D,2020-05-26,2458.46,2461.95,2414.06,2421.75,159288
275,AMZN,D,2020-05-27,2401.0,2412.82,2330.0,2410.39,187515
276,AMZN,D,2020-05-28,2384.36,2436.85,2378.33,2400.19,107840
277,AMZN,D,2020-05-29,2415.52,2439.95,2398.72,2436.31,141136
278,AMZN,D,2020-06-01,2446.78,2476.28,2446.28,2470.12,87381
279,AMZN,D,2020-06-02,2465.74,2473.22,2445.68,2472.75,76116
280,AMZN,D,2020-06-03,2468.9,2487.74,2461.68,2478.22,99306
281,AMZN,D,2020-06-04,2478.0,2507.5,2450.55,2460.21,106073
282,AMZN,D,2020-06-05,2444.95,2488.5,2437.24,2482.74,107147
283,AMZN,D,2020-06-08,2500.82,2529.65,2488.42,2524.31,126740
284,AMZN,D,2020-06-09,2526.29,2626.43,2525.34,2599.83,184979
285,AMZN,D,2020-06-10,2642.55,2670.0,2627.0,2648.69,163598
286,AMZN,D,2020-06-11,2601.27,2671.38,2556.0,2556.71,161609
287,AMZN,D,2020-06-12,2602.44,2621.0,2504.09,2543.14,135889
288,AMZN,D,2020-06-15,2526.33,2583.92,2510.42,2572.62,109018
289,AMZN,D,2020-06-16,2619.9,2619.9,2578.96,2615.7,120592
290,AMZN,D,2020-06-17,2646.0,2654.59,2632.44,2640.41,73070
291,AMZN,D,2020-06-18,2647.01,2658.69,2638.5,2654.13,56256
292,AMZN,D,2020-06-19,2683.64,2696.84,2659.58,2670.59,143475
293,AMZN,D,2020-06-22,2685.0,2713.96,2670.025,2712.0,69258
294,AMZN,D,2020-06-23,2726.025,2783.04,2718.04,2764.45,104081
295,AMZN,D,2020-06-24,2779.0,2794.57,2722.29,2730.95,118584
296,AMZN,D,2020-06-25,2740.01,2756.23,2712.45,2756.23,73800
297,AMZN,D,2020-06-26,2772.95,2782.0,2688.35,2693.01,163332
298,AMZN,D,2020-06-29,2689.56,2695.0,2635.01,2679.88,108886
299,AMZN,D,2020-06-30,2684.2,2768.78,2676.01,2756.12,94914
300,AMZN,D,2020-07-01,2756.01,2892.37,2754.67,2879.87,214910
301,AMZN,D,2020-07-02,2912.01,2954.97,2872.315,2885.77,237953
302,AMZN,D,2020-07-06,2934.98,3058.78,2931.22,3057.01,225348
303,AMZN,D,2020-07-07,3058.0,3069.18,2993.8,3001.48,113253
304,AMZN,D,2020-07-08,3023.62,3083.36,3013.9,3082.3,125089
